0.1020+01 0.9770+00 0.9930+00 0.9838+00 0.1000+01 0.9997+00
0.1040+01 0.9546+00 0.9855+00 0.9686+00 0.1001+01 0.9989+00
0.1060+01 0.9327+00 0.9776+00 0.9542+00 0.1002+01 0.9977+00
0.1080+01 0.9115+00 0.9691+00 0.9406+00 0.1003+01 0.9960+00
0.1100+01 0.8909+00 0.9603+00 0.9277+00 0.1005+01 0.9939+00
0.1120+01 0.8708+00 0.9512+00 0.9155+00 0.1007+01 0.9915+00
0.1140+01 0.8512+00 0.9417+00 0.9039+00 0.1010+01 0.9887+00
0.1160+01 0.8322+00 0.9320+00 0.8930+01 0.1012+01 0.9856+00
0.1180+01 0.8137+00 0.9220+00 0.8826+00 0.1016+01 0.9823+00
0.1200+01 0.7958+00 0.9118+00 0.8727+00 0.1019+01 0.9787+00
0.1220+01 0.7783+00 0.9015+00 0.8633+00 0.1023+01 0.9749+00
0.1240+01 0.7613+00 0.8911+00 0.8543+00 0.1028+01 0.9709+00
0.1260+01 0.7447+00 0.8805+00 0.8458+00 0.1033+01 0.9668+00
0.1280+01 0.7287+00 0.8699+00 0.8376+00 0.1038+01 0.9624+00
0.1300+01 0.7130+00 0.8592+00 0.8299+00 0.1044+01 0.9580+00
0.1320+01 0.6978+00 0.8484+00 0.8225+00 0.1050+01 0.9534+00
0.1340+01 0.6830+00 0.8377+00 0.8154+00 0.1056+01 0.9487+00
0.1360+01 0.6686+00 0.8269+00 0.8086+00 0.1063+01 0.9440+00
0.1380+01 0.6546+00 0.8161+00 0.8021+00 0.1070+01 0.9391+00
0.1400+01 0.6410+00 0.8054+00 0.7959+00 0.1078+01 0.9343+00
0.1420+01 0.6278+00 0.7947+00 0.7900+00 0.1086+01 0.9293+00
0.1440+01 0.6149+00 0.7840+00 0.7843+00 0.1094+01 0.9243+00
0.1460+01 0.6024+00 0.7735+00 0.7788+00 0.1103+01 0.9193+00
0.1480+01 0.5902+00 0.7629+00 0.7736+00 0.1112+01 0.9143+00
0.1500+01 0.5783+00 0.7525+00 0.7685+00 0.1122+01 0.9093+00
0.1520+01 0.5668+00 0.7422+00 0.7637+00 0.1132+01 0.9042+00
0.1540+01 0.5555+00 0.7319+00 0.7590+00 0.1142+01 0.8992+00
0.1560+01 0.5446+00 0.7217+00 0.7545+00 0.1153+01 0.8942+00
0.1580+01 0.5339+00 0.7117+00 0.7502+00 0.1164+01 0.8892+00
0.1600+01 0.5236+00 0.7017+00 0.7461+00 0.1176+01 0.8842+00
0.1620+01 0.5135+00 0.6919+00 0.7421+00 0.1188+01 0.8792+00
0.1640+01 0.5036+00 0.6822+00 0.7383+00 0.1200+01 0.8743+00
0.1660+01 0.4940+00 0.6726+00 0.7345+00 0.1213+01 0.8694+00
0.1680+01 0.4847+00 0.6631+00 0.7310+00 0.1226+01 0.8645+00
0.1700+01 0.4756+00 0.6538+00 0.7275+00 0.1240+01 0.8597+00
0.1720+01 0.4668+00 0.6445+00 0.7242+00 0.1254+01 0.8549+00
0.1740+01 0.4581+00 0.6355+00 0.7210+00 0.1269+01 0.8502+00
0.1760+01 0.4497+00 0.6265+00 0.7178+00 0.1284+01 0.8455+00
0.1780+01 0.4415+00 0.6176+00 0.7148+00 0.1300+01 0.8409+00
0.1800+01 0.4335+00 0.6089+00 0.7119+00 0.1316+01 0.8363+00
0.1820+01 0.4257+00 0.6004+00 0.7091+00 0.1332+01 0.8317+00
0.1840+01 0.4181+00 0.5919+00 0.7064+00 0.1349+01 0.8273+00
0.1860+01 0.4107+00 0.5836+00 0.7038+00 0.1367+01 0.8228+00
0.1880+01 0.4035+00 0.5754+00 0.7012+00 0.1385+01 0.8185+00
0.1900+01 0.3964+00 0.5673+00 0.6988+00 0.1403+01 0.8141+00
0.1920+01 0.3895+00 0.5594+00 0.6964+00 0.1422+01 0.8099+00
0.1940+01 0.3828+00 0.5516+00 0.6940+00 0.1442+01 0.8057+00
0.1960+01 0.3763+00 0.5439+00 0.6918+00 0.1462+01 0.8015+00
0.1980+01 0.3699+00 0.5364+00 0.6896+00 0.1482+01 0.7974+00
0.2000+01 0.3636+00 0.5289+00 0.6875+00 0.1503+01 0.7934+00
