0.7100+01 0.4531+04 0.4088+03 0.1108+02 0.1109+03
0.7200+01 0.4953+04 0.4357+03 0.1137+02 0.1181+03
0.7300+01 0.5410+04 0.4640+03 0.1166+02 0.1256+03
0.7400+01 0.5903+04 0.4939+03 0.1195+02 0.1335+03
0.7500+01 0.6434+04 0.5252+03 0.1225+02 0.1418+03
0.7600+01 0.7006+04 0.5582+03 0.1255+02 0.1506+03
0.7700+01 0.7623+04 0.5928+03 0.1286+02 0.1598+03
0.7800+01 0.8285+04 0.6292+03 0.1317+02 0.1694+03
0.7900+01 0.8998+04 0.6674+03 0.1348+02 0.1795+03
0.8000+01 0.9763+04 0.7075+03 0.1380+02 0.1901+03
0.9000+01 0.2110+05 0.1227+04 0.1720+02 0.3272+03
0.1000+02 0.4244+05 0.2021+04 0.2100+02 0.5359+03
0.1100+02 0.8033+05 0.3188+04 0.2520+02 0.8419+03
0.1200+02 0.1445+06 0.4848+04 0.2980+02 0.1276+04
0.1300+02 0.2486+06 0.7144+04 0.3480+02 0.1876+04
0.1400+02 0.4119+06 0.1025+05 0.4020+02 0.2685+04
0.1500+02 0.6602+06 0.1435+05 0.4600+02 0.3755+04
0.1600+02 0.1028+07 0.1969+05 0.5220+02 0.5145+04
0.1700+02 0.1559+07 0.2651+05 0.5880+02 0.6921+04
0.1800+02 0.2311+07 0.3512+05 0.6580+02 0.9159+04
0.1900+02 0.3356+07 0.4584+05 0.7320+02 0.1195+05
0.2000+02 0.4783+07 0.5905+05 0.8100+02 0.1538+05
0.2200+02 0.9251+07 0.9459+05 0.9780+02 0.2461+05
0.2400+02 0.1691+08 0.1456+06 0.1162+03 0.3783+05
0.2600+02 0.2949+08 0.2165+06 0.1362+03 0.5624+05
0.2800+02 0.4936+08 0.3128+06 0.1578+03 0.8121+05
0.3000+02 0.7978+08 0.4408+06 0.1810+03 0.1144+06
0.3200+02 0.1250+09 0.6076+06 0.2058+03 0.1576+06
0.3400+02 0.1908+09 0.8216+06 0.2322+03 0.2131+06
0.3600+02 0.2842+09 0.1092+07 0.2602+03 0.2832+06
0.3800+02 0.4143+09 0.1430+07 0.2898+03 0.3707+06
0.4000+02 0.5926+09 0.1846+07 0.3210+03 0.4785+06
0.4200+02 0.8330+09 0.2354+07 0.3538+03 0.6102+06
0.4400+02 0.1153+10 0.2969+07 0.3882+03 0.7694+06
0.4600+02 0.1572+10 0.3706+07 0.4242+03 0.9603+06
0.4800+02 0.2116+10 0.4583+07 0.4618+03 0.1187+07
0.5000+02 0.2815+10 0.5618+07 0.5010+03 0.1455+07
