0.6200+00 0.1296+01 0.1203+01 0.1077+01 0.1166+01
0.6400+00 0.1317+01 0.1218+01 0.1082+01 0.1145+01
0.6600+00 0.1340+01 0.1232+01 0.1087+01 0.1127+01
0.6800+00 0.1363+01 0.1247+01 0.1092+01 0.1110+01
0.7000+00 0.1387+01 0.1263+01 0.1098+01 0.1094+01
0.7200+00 0.1412+01 0.1280+01 0.1104+01 0.1081+01
0.7400+00 0.1439+01 0.1297+01 0.1110+01 0.1068+01
0.7600+00 0.1466+01 0.1314+01 0.1116+01 0.1057+01
0.7800+00 0.1495+01 0.1333+01 0.1122+01 0.1047+01
0.8000+00 0.1524+01 0.1351+01 0.1128+01 0.1038+01
0.8200+00 0.1555+01 0.1371+01 0.1134+01 0.1030+01
0.8400+00 0.1587+01 0.1391+01 0.1141+01 0.1024+01
0.8600+00 0.1621+01 0.1412+01 0.1148+01 0.1018+01
0.8800+00 0.1655+01 0.1433+01 0.1155+01 0.1013+01
0.9000+00 0.1691+01 0.1456+01 0.1162+01 0.1009+01
0.9200+00 0.1729+01 0.1478+01 0.1169+01 0.1006+01
0.9400+00 0.1767+01 0.1502+01 0.1177+01 0.1003+01
0.9600+00 0.1808+01 0.1526+01 0.1184+01 0.1001+01
0.9800+00 0.1850+01 0.1552+01 0.1192+01 0.1000+01
0.1000+01 0.1893+01 0.1577+01 0.1200+01 0.1000+01
0.1020+01 0.1938+01 0.1604+01 0.1208+01 0.1000+01
0.1040+01 0.1985+01 0.1632+01 0.1216+01 0.1001+01
0.1060+01 0.2033+01 0.1660+01 0.1225+01 0.1003+01
0.1080+01 0.2083+01 0.1689+01 0.1233+01 0.1005+01
0.1100+01 0.2135+01 0.1719+01 0.1242+01 0.1008+01
0.1120+01 0.2189+01 0.1750+01 0.1251+01 0.1011+01
0.1140+01 0.2245+01 0.1782+01 0.1260+01 0.1015+01
0.1160+01 0.2303+01 0.1814+01 0.1269+01 0.1020+01
0.1180+01 0.2363+01 0.1848+01 0.1278+01 0.1025+01
0.1200+01 0.2425+01 0.1883+01 0.1288+01 0.1030+01
0.1220+01 0.2489+01 0.1918+01 0.1298+01 0.1037+01
0.1240+01 0.2556+01 0.1955+01 0.1308+01 0.1043+01
0.1260+01 0.2625+01 0.1992+01 0.1318+01 0.1050+01
0.1280+01 0.2697+01 0.2031+01 0.1328+01 0.1058+01
0.1300+01 0.2771+01 0.2071+01 0.1338+01 0.1066+01
0.1320+01 0.2847+01 0.2112+01 0.1348+01 0.1075+01
0.1340+01 0.2927+01 0.2153+01 0.1359+01 0.1084+01
0.1360+01 0.3009+01 0.2197+01 0.1370+01 0.1094+01
0.1380+01 0.3094+01 0.2241+01 0.1381+01 0.1104+01
0.1400+01 0.3182+01 0.2286+01 0.1392+01 0.1115+01
0.1420+01 0.3273+01 0.2333+01 0.1403+01 0.1126+01
0.1440+01 0.3368+01 0.2381+01 0.1415+01 0.1138+01
0.1460+01 0.3465+01 0.2430+01 0.1426+01 0.1150+01
0.1480+01 0.3566+01 0.2480+01 0.1438+01 0.1163+01
0.1500+01 0.3671+01 0.2532+01 0.1450+01 0.1176+01
0.1520+01 0.3779+01 0.2585+01 0.1462+01 0.1190+01
0.1540+01 0.3891+01 0.2639+01 0.1474+01 0.1204+01
0.1560+01 0.4007+01 0.2695+01 0.1487+01 0.1219+01
0.1580+01 0.4127+01 0.2752+01 0.1499+01 0.1234+01
0.1600+01 0.4250+01 0.2811+01 0.1512+01 0.1250+01
