0.1620+01 0.4378+01 0.2871+01 0.1525+01 0.1267+01
0.1640+01 0.4511+01 0.2933+01 0.1538+01 0.1284+01
0.1660+01 0.4648+01 0.2996+01 0.1551+01 0.1301+01
0.1680+01 0.4790+01 0.3061+01 0.1564+01 0.1319+01
0.1700+01 0.4936+01 0.3128+01 0.1578+01 0.1338+01
0.1720+01 0.5087+01 0.3196+01 0.1592+01 0.1357+01
0.1740+01 0.5244+01 0.3266+01 0.1606+01 0.1376+01
0.1760+01 0.5406+01 0.3338+01 0.1620+01 0.1397+01
0.1780+01 0.5573+01 0.3411+01 0.1634+01 0.1418+01
0.1800+01 0.5746+01 0.3487+01 0.1648+01 0.1439+01
0.1820+01 0.5924+01 0.3564+01 0.1662+01 0.1461+01
0.1840+01 0.6109+01 0.3643+01 0.1677+01 0.1484+01
0.1860+01 0.6300+01 0.3723+01 0.1692+01 0.1507+01
0.1880+01 0.6497+01 0.3806+01 0.1707+01 0.1531+01
0.1900+01 0.6701+01 0.3891+01 0.1722+01 0.1555+01
0.1920+01 0.6911+01 0.3978+01 0.1737+01 0.1580+01
0.1940+01 0.7128+01 0.4067+01 0.1753+01 0.1606+01
0.1960+01 0.7353+01 0.4158+01 0.1768+01 0.1633+01
0.1980+01 0.7585+01 0.4251+01 0.1784+01 0.1660+01
0.2000+01 0.7824+01 0.4347+01 0.1800+01 0.1687+01
0.2050+01 0.8458+01 0.4596+01 0.1840+01 0.1760+01
0.2100+01 0.9145+01 0.4859+01 0.1882+01 0.1837+01
0.2150+01 0.9888+01 0.5138+01 0.1924+01 0.1919+01
0.2200+01 0.1069+02 0.5433+01 0.1968+01 0.2005+01
0.2250+01 0.1156+02 0.5746+01 0.2012+01 0.2096+01
0.2300+01 0.1250+02 0.6076+01 0.2058+01 0.2193+01
0.2350+01 0.1352+02 0.6425+01 0.2104+01 0.2295+01
0.2400+01 0.1462+02 0.6794+01 0.2152+01 0.2403+01
0.2450+01 0.1581+02 0.7183+01 0.2200+01 0.2517+01
0.2500+01 0.1709+02 0.7594+01 0.2250+01 0.2637+01
0.2550+01 0.1847+02 0.8027+01 0.2300+01 0.2763+01
0.2600+01 0.1995+02 0.8484+01 0.2352+01 0.2896+01
0.2650+01 0.2156+02 0.8965+01 0.2404+01 0.3036+01
0.2700+01 0.2328+02 0.9472+01 0.2458+01 0.3183+01
0.2750+01 0.2514+02 0.1001+02 0.2512+01 0.3338+01
0.2800+01 0.2714+02 0.1057+02 0.2568+01 0.3500+01
0.2850+01 0.2929+02 0.1116+02 0.2624+01 0.3671+01
0.2900+01 0.3159+02 0.1178+02 0.2682+01 0.3850+01
0.2950+01 0.3407+02 0.1243+02 0.2740+01 0.4038+01
0.3000+01 0.3673+02 0.1312+02 0.2800+01 0.4235+01
0.3050+01 0.3959+02 0.1384+02 0.2860+01 0.4441+01
0.3100+01 0.4265+02 0.1459+02 0.2922+01 0.4657+01
0.3150+01 0.4593+02 0.1539+02 0.2984+01 0.4884+01
0.3200+01 0.4944+02 0.1622+02 0.3048+01 0.5121+01
0.3250+01 0.5320+02 0.1709+02 0.3112+01 0.5369+01
0.3300+01 0.5722+02 0.1800+02 0.3178+01 0.5629+01
0.3350+01 0.6152+02 0.1896+02 0.3244+01 0.5900+01
0.3400+01 0.6612+02 0.1996+02 0.3312+01 0.6184+01
0.3450+01 0.7103+02 0.2101+02 0.3380+01 0.6480+01
0.3500+01 0.7627+02 0.2211+02 0.3450+01 0.6790+01
