0.1800+02 0.3778+03 0.5909+01 0.6394+02 0.1807-03 0.4176+03 0.3810+00
0.1900+02 0.4210+03 0.5918+01 0.7114+02 0.1386-03 0.4653+03 0.3806+00
0.2000+02 0.4665+03 0.5926+01 0.7872+02 0.1078-03 0.5155+03 0.3804+00
0.2200+02 0.5645+03 0.5939+01 0.9506+02 0.6741-04 0.6236+03 0.3800+00
0.2400+02 0.6718+03 0.5948+01 0.1129+03 0.4388-04 0.7421+03 0.3796+00
0.2600+02 0.7885+03 0.5956+01 0.1324+03 0.2953-04 0.8709+03 0.3794+00
0.2800+02 0.9145+03 0.5962+01 0.1534+03 0.2046-04 0.1010+04 0.3792+00
0.3000+02 0.1050+04 0.5967+01 0.1759+03 0.1453-04 0.1159+04 0.3790+00
0.3200+02 0.1194+04 0.5971+01 0.2001+03 0.1055-04 0.1319+04 0.3789+00
0.3400+02 0.1348+04 0.5974+01 0.2257+03 0.7804-05 0.1489+04 0.3788+00
0.3600+02 0.1512+04 0.5977+01 0.2529+03 0.5874-05 0.1669+04 0.3787+00
0.3800+02 0.1684+04 0.5979+01 0.2817+03 0.4488-05 0.1860+04 0.3786+00
0.4000+02 0.1866+04 0.5981+01 0.3121+03 0.3477-05 0.2061+04 0.3786+00
0.4200+02 0.2058+04 0.5983+01 0.3439+03 0.2727-05 0.2272+04 0.3785+00
0.4400+02 0.2258+04 0.5985+01 0.3774+03 0.2163-05 0.2493+04 0.3785+00
0.4600+02 0.2468+04 0.5986+01 0.4124+03 0.1733-05 0.2725+04 0.3784+00
0.4800+02 0.2688+04 0.5987+01 0.4489+03 0.1402-05 0.2967+04 0.3784+00
0.5000+02 0.2916+04 0.5988+01 0.4871+03 0.1144-05 0.3219+04 0.3784+00
